날짜,시작,시작시간,종료,종료시간,장소,원인,피해면적(ha),SIG_KOR_NM,경도,위도,피해면적평균
2020-06-08,9:32:00,2020-06-08 9:32,12:00:00,2020-06-08 12:00,경남 양산 가산,기타,0.01,경남 양산,129.0394111,35.33192778,0.313824
2020-06-05,14:50:00,2020-06-05 14:50,18:00:00,2020-06-05 18:00,경남 함안 신음,건축물화재비화,0.1,경남 함안,128.4087083,35.26940556,0.351538
2020-06-01,16:31:00,2020-06-01 16:31,19:50:00,2020-06-01 19:50,경남 함양 봉산,농산부산물소각,0.2,경남 함양,127.7274194,35.51746944,0.612157
2020-04-30,5:00:00,2020-04-30 5:00,10:00:00,2020-04-30 10:00,경남 김해 여래,입산자실화,0.06,경남 김해,128.8916667,35.22550556,0.324
2020-04-25,12:21:00,2020-04-25 12:21,16:00:00,2020-04-25 16:00,경남 함양 연덕,기타,0.2,경남 함양,127.7274194,35.51746944,0.612157
2020-04-08,13:21:00,2020-04-08 13:21,9:00:00,2020-04-08 9:00,경남 함양 도천,기타,20,경남 함양,127.7274194,35.51746944,0.612157
2020-03-14,12:14:00,2020-03-14 12:14,13:28:00,2020-03-14 13:28,경남 함양 운서,쓰레기소각,0.08,경남 함양,127.7274194,35.51746944,0.612157
2020-03-03,15:03:00,2020-03-03 15:03,15:40:00,2020-03-03 15:40,경남 거제 구천,입산자실화,0.01,경남 거제,128.6233556,34.87735833,0.062222
2019-12-24,19:56:00,2019-12-24 19:56,23:00:00,2019-12-24 23:00,경남 진주 정평,쓰레기소각,0.05,경남 진주,128.11,35.17703333,0.096875
2019-12-15,13:26:00,2019-12-15 13:26,14:23:00,2019-12-15 14:23,경남 양산 화제,건축물화재비화,0.01,경남 양산,129.0394111,35.33192778,0.313824
2019-12-13,15:06:00,2019-12-13 15:06,16:30:00,2019-12-13 16:30,경남 밀양 대항,건축물화재비화,0.01,경남 밀양,128.7489444,35.50077778,28.37519
2019-11-22,0:02:00,2019-11-22 0:02,7:30:00,2019-11-22 7:30,경남 창녕 구계,기타,0.01,경남 창녕,128.4945333,35.54153611,0.652
2019-11-12,15:06:00,2019-11-12 15:06,17:06:00,2019-11-12 17:06,경남 함양 이전,기타,0.01,경남 함양,127.7274194,35.51746944,0.612157
2019-11-08,16:11:00,2019-11-08 16:11,20:00:00,2019-11-08 20:00,경남 거창 중촌,기타,0.01,경남 거창,127.9116556,35.683625,0.115455
2019-05-13,19:11:00,2019-05-13 19:11,22:25:00,2019-05-13 22:25,경남 함양 황산,기타,0.05,경남 함양,127.7274194,35.51746944,0.612157
2019-05-12,21:16:00,2019-05-12 21:16,23:20:00,2019-05-12 23:20,경남 김해 양동,기타,0.1,경남 김해,128.8916667,35.22550556,0.324
